Purchase_ID,Purchase_Date,Customer_ID,Age_Group,Gender,City,Country,Gift_Category,Gift_Item,Recipient,Unit_Price,Quantity,Total_Revenue,Unit_Cost,Profit,Profit_Margin_%,Payment_Mode,Purchase_Channel,Discount_Percent,Satisfaction_Rating
P0062,2025-12-16,C193,46-55,Female,Jaipur,India,Home Decor,Wall Candles,Family,1986,2,3972,1380.7,1210.6,30.48,Card,Online,5,4
P0063,2025-12-13,C933,18-25,Female,Mumbai,India,Home Decor,Decor Tree,Family,4558,2,9116,3187.81,2740.38,30.06,Card,Offline,0,4
P0064,2025-12-07,C630,36-45,Female,Indore,India,Books,Inspirational Book,Sibling,509,2,1018,336.95,344.1,33.8,UPI,Online,10,5
P0065,2025-12-21,C723,26-35,Male,Hyderabad,India,Electronics,Wireless Earbuds,Spouse,4089,2,8178,2527.88,3122.24,38.18,UPI,Offline,0,3
P0066,2025-12-05,C610,36-45,Female,Jaipur,India,Books,Novel Set,Sibling,4280,1,4280,2983.83,1296.17,30.28,Card,Online,15,5
P0067,2025-12-09,C891,46-55,Female,Ahmedabad,India,Electronics,Wireless Earbuds,Family,2061,1,2061,1503.71,557.29,27.04,UPI,Offline,10,5
P0068,2025-12-16,C453,36-45,Female,Kolkata,India,Food & Sweets,Dry Fruits Box,Family,4511,1,4511,3008.76,1502.24,33.3,UPI,Online,20,4
P0069,2025-12-23,C930,46-55,Female,Indore,India,Electronics,Wireless Earbuds,Friend,857,2,1714,609.93,494.14,28.83,Card,Online,5,5
P0070,2025-12-15,C115,26-35,Female,Indore,India,Food & Sweets,Plum Cake,Friend,1322,2,2644,812.97,1018.06,38.5,UPI,Offline,10,4
P0071,2025-12-22,C979,46-55,Female,Indore,India,Food & Sweets,Dry Fruits Box,Sibling,3756,1,3756,2733.48,1022.52,27.22,Cash,Online,20,3
P0072,2025-12-14,C200,18-25,Female,Bangalore,India,Electronics,Bluetooth Speaker,Family,2854,1,2854,2032.09,821.91,28.8,UPI,Online,10,3
P0073,2025-12-17,C521,26-35,Male,Bangalore,India,Clothing,Winter Jacket,Self,3570,2,7140,2219.95,2700.1,37.82,Cash,Offline,20,5
P0074,2025-12-09,C570,36-45,Male,Kolkata,India,Electronics,Wireless Earbuds,Family,1672,1,1672,1118.86,553.14,33.08,Cash,Online,0,4
P0075,2025-12-15,C965,36-45,Male,Jaipur,India,Clothing,Scarf,Sibling,2950,2,5900,2075.46,1749.08,29.65,UPI,Online,15,5
P0076,2025-12-22,C505,36-45,Male,Surat,India,Clothing,Scarf,Self,2923,2,5846,1763.42,2319.16,39.67,Cash,Offline,10,3
P0077,2025-12-22,C873,26-35,Male,Indore,India,Food & Sweets,Plum Cake,Self,2294,1,2294,1590.05,703.95,30.69,Card,Offline,0,5
P0078,2025-12-11,C865,46-55,Male,Chennai,India,Clothing,Scarf,Friend,1576,1,1576,1160.64,415.36,26.36,Cash,Offline,20,5
P0079,2025-12-10,C864,36-45,Male,Kolkata,India,Clothing,Sweater,Self,2605,2,5210,1941.01,1327.98,25.49,UPI,Online,15,5
P0080,2025-12-04,C565,36-45,Female,Surat,India,Clothing,Sweater,Sibling,3732,1,3732,2387.24,1344.76,36.03,Cash,Offline,0,5
P0081,2025-12-08,C763,18-25,Female,Lucknow,India,Electronics,Wireless Earbuds,Family,705,2,1410,519.79,370.42,26.27,Cash,Offline,0,3
P0082,2025-12-08,C650,26-35,Female,Kolkata,India,Toys,Teddy Bear,Family,2993,2,5986,1847.93,2290.14,38.26,Cash,Offline,20,5
P0083,2025-12-20,C517,36-45,Male,Lucknow,India,Accessories,Perfume,Family,3898,1,3898,2826.26,1071.74,27.49,UPI,Offline,15,3
P0084,2025-12-21,C467,18-25,Female,Hyderabad,India,Books,Diary,Friend,1313,2,2626,895.03,835.94,31.83,UPI,Offline,0,5
P0085,2025-12-08,C228,26-35,Male,Ahmedabad,India,Electronics,Bluetooth Speaker,Friend,674,1,674,483.94,190.06,28.2,Cash,Online,5,4
P0086,2025-12-05,C233,36-45,Male,Mumbai,India,Books,Novel Set,Self,523,2,1046,381.14,283.72,27.12,UPI,Online,10,3
P0087,2025-12-05,C859,46-55,Male,Lucknow,India,Food & Sweets,Plum Cake,Self,629,1,629,402.44,226.56,36.02,Card,Offline,10,5
P0088,2025-12-02,C844,36-45,Female,Indore,India,Food & Sweets,Chocolate Hamper,Self,4202,1,4202,3117.1,1084.9,25.82,UPI,Offline,15,4
P0089,2025-12-03,C429,26-35,Male,Bangalore,India,Accessories,Perfume,Family,4516,2,9032,2759.38,3513.24,38.9,Cash,Offline,15,5
P0090,2025-12-23,C217,26-35,Female,Kolkata,India,Food & Sweets,Plum Cake,Friend,4216,2,8432,2592.32,3247.36,38.51,Card,Offline,15,4
P0091,2025-12-22,C361,36-45,Male,Indore,India,Home Decor,Decor Tree,Sibling,1278,2,2556,848.61,858.78,33.6,UPI,Online,0,3
P0092,2025-12-19,C675,36-45,Male,Jaipur,India,Home Decor,Christmas Lights,Family,3552,1,3552,2427.63,1124.37,31.65,Cash,Offline,0,4
P0093,2025-12-07,C258,46-55,Male,Mumbai,India,Food & Sweets,Plum Cake,Family,3380,1,3380,2321.0,1059.0,31.33,Cash,Offline,0,4
P0094,2025-12-22,C949,36-45,Male,Bangalore,India,Food & Sweets,Chocolate Hamper,Family,4015,1,4015,2775.77,1239.23,30.87,Cash,Offline,10,4
P0095,2025-12-24,C748,18-25,Male,Lucknow,India,Toys,Teddy Bear,Spouse,1673,2,3346,1021.26,1303.48,38.96,UPI,Offline,15,4
P0096,2025-12-19,C710,18-25,Male,Bangalore,India,Clothing,Sweater,Friend,3531,2,7062,2500.79,2060.42,29.18,Cash,Online,0,4
P0097,2025-12-14,C379,26-35,Male,Pune,India,Home Decor,Decor Tree,Sibling,3973,2,7946,2745.59,2454.82,30.89,UPI,Offline,20,4
P0098,2025-12-20,C156,18-25,Male,Hyderabad,India,Food & Sweets,Dry Fruits Box,Friend,3026,1,3026,1915.69,1110.31,36.69,UPI,Offline,10,4
P0099,2025-12-13,C645,26-35,Female,Mumbai,India,Toys,Teddy Bear,Sibling,4574,2,9148,2864.94,3418.12,37.36,Cash,Online,15,3
P0100,2025-12-23,C755,46-55,Female,Mumbai,India,Home Decor,Christmas Lights,Sibling,3064,2,6128,2101.93,1924.14,31.4,UPI,Offline,5,5
P0101,2025-12-04,C349,46-55,Female,Ahmedabad,India,Home Decor,Decor Tree,Self,3464,1,3464,2305.32,1158.68,33.45,Card,Offline,10,3
P0102,2025-12-07,C894,36-45,Female,Lucknow,India,Clothing,Sweater,Friend,1125,1,1125,764.54,360.46,32.04,UPI,Online,5,4
P0103,2025-12-21,C605,46-55,Female,Indore,India,Electronics,Smart Watch,Spouse,1752,1,1752,1097.75,654.25,37.34,Cash,Offline,10,3
P0104,2025-12-09,C705,18-25,Female,Ahmedabad,India,Home Decor,Christmas Lights,Self,4341,2,8682,3015.73,2650.54,30.53,Card,Offline,15,3
P0105,2025-12-03,C729,46-55,Female,Surat,India,Toys,Remote Car,Spouse,2851,1,2851,1986.29,864.71,30.33,Cash,Online,15,5
P0106,2025-12-02,C561,18-25,Female,Lucknow,India,Accessories,Perfume,Self,3133,2,6266,2115.42,2035.16,32.48,Cash,Online,0,3
P0107,2025-12-10,C496,46-55,Female,Indore,India,Accessories,Handbag,Spouse,4099,1,4099,2683.14,1415.86,34.54,UPI,Offline,0,4
P0108,2025-12-22,C717,26-35,Female,Mumbai,India,Toys,Puzzle Game,Spouse,3666,2,7332,2338.17,2655.66,36.22,Cash,Online,10,4
P0109,2025-12-03,C417,46-55,Female,Bangalore,India,Accessories,Wallet,Spouse,3710,1,3710,2557.14,1152.86,31.07,UPI,Offline,20,4
P0110,2025-12-11,C884,46-55,Male,Chennai,India,Toys,Remote Car,Friend,3030,1,3030,2250.31,779.69,25.73,UPI,Online,10,3
P0111,2025-12-20,C234,46-55,Male,Bangalore,India,Food & Sweets,Dry Fruits Box,Friend,4813,1,4813,3365.68,1447.32,30.07,Cash,Online,15,3
P0112,2025-12-24,C902,46-55,Male,Ahmedabad,India,Home Decor,Wall Candles,Friend,2445,2,4890,1690.94,1508.12,30.84,Card,Offline,5,4
P0113,2025-12-13,C614,46-55,Male,Chennai,India,Accessories,Wallet,Spouse,4109,2,8218,2939.64,2338.72,28.46,UPI,Offline,0,5
P0114,2025-12-06,C379,46-55,Male,Jaipur,India,Home Decor,Wall Candles,Self,1340,1,1340,861.3,478.7,35.72,UPI,Offline,10,3
P0115,2025-12-03,C483,26-35,Male,Pune,India,Home Decor,Christmas Lights,Self,3747,2,7494,2380.72,2732.56,36.46,Cash,Offline,5,3
P0116,2025-12-16,C559,18-25,Male,Delhi,India,Toys,Remote Car,Family,4370,1,4370,3119.42,1250.58,28.62,UPI,Online,20,5
P0117,2025-12-08,C408,18-25,Male,Chennai,India,Food & Sweets,Dry Fruits Box,Sibling,3967,1,3967,2842.06,1124.94,28.36,Cash,Offline,0,3
P0118,2025-12-19,C347,26-35,Female,Jaipur,India,Books,Diary,Self,4891,1,4891,3398.23,1492.77,30.52,Cash,Offline,5,5
P0119,2025-12-17,C657,18-25,Female,Kolkata,India,Home Decor,Christmas Lights,Self,1201,2,2402,732.79,936.42,38.99,Cash,Offline,10,4
P0120,2025-12-24,C772,18-25,Female,Bangalore,India,Accessories,Perfume,Self,3425,1,3425,2232.14,1192.86,34.83,Card,Offline,5,5
P0121,2025-12-03,C833,46-55,Male,Hyderabad,India,Home Decor,Decor Tree,Friend,4420,1,4420,3190.02,1229.98,27.83,UPI,Online,0,4
P0122,2025-12-21,C295,36-45,Female,Delhi,India,Clothing,Scarf,Family,3762,2,7524,2400.14,2723.72,36.2,Card,Online,10,4
P0123,2025-12-06,C608,46-55,Female,Ahmedabad,India,Home Decor,Decor Tree,Family,4102,2,8204,2669.81,2864.38,34.91,UPI,Offline,0,4
P0124,2025-12-03,C435,36-45,Female,Kolkata,India,Food & Sweets,Chocolate Hamper,Spouse,4968,2,9936,3220.17,3495.66,35.18,Cash,Offline,5,5
P0125,2025-12-12,C729,46-55,Female,Indore,India,Home Decor,Wall Candles,Self,4162,1,4162,2950.95,1211.05,29.1,UPI,Offline,10,5
P0126,2025-12-20,C794,46-55,Male,Bangalore,India,Books,Inspirational Book,Self,1810,1,1810,1124.76,685.24,37.86,UPI,Offline,10,4
P0127,2025-12-12,C554,18-25,Male,Ahmedabad,India,Food & Sweets,Chocolate Hamper,Family,1756,2,3512,1303.52,904.96,25.77,Card,Offline,10,3
P0128,2025-12-18,C220,36-45,Female,Lucknow,India,Toys,Teddy Bear,Sibling,2024,2,4048,1371.59,1304.82,32.23,UPI,Offline,15,3
P0129,2025-12-23,C555,18-25,Female,Indore,India,Toys,Teddy Bear,Family,1106,2,2212,692.24,827.52,37.41,Cash,Online,20,5
P0130,2025-12-17,C329,18-25,Male,Bangalore,India,Clothing,Winter Jacket,Friend,1790,1,1790,1287.11,502.89,28.09,Card,Online,10,5
P0131,2025-12-03,C167,36-45,Female,Lucknow,India,Food & Sweets,Plum Cake,Sibling,4328,1,4328,2994.08,1333.92,30.82,Cash,Offline,15,5
P0132,2025-12-22,C629,36-45,Male,Ahmedabad,India,Toys,Teddy Bear,Spouse,3097,1,3097,2067.24,1029.76,33.25,UPI,Online,15,5
P0133,2025-12-06,C430,26-35,Female,Ahmedabad,India,Books,Novel Set,Family,1517,1,1517,979.4,537.6,35.44,UPI,Offline,5,5
P0134,2025-12-03,C614,26-35,Male,Bangalore,India,Food & Sweets,Plum Cake,Spouse,1525,2,3050,1055.55,938.9,30.78,Cash,Offline,20,3
P0135,2025-12-19,C371,26-35,Female,Surat,India,Books,Novel Set,Self,1165,1,1165,864.76,300.24,25.77,Card,Offline,10,4
P0136,2025-12-23,C161,26-35,Female,Jaipur,India,Electronics,Bluetooth Speaker,Sibling,3826,2,7652,2555.89,2540.22,33.2,Card,Online,10,5
P0137,2025-12-05,C878,36-45,Male,Pune,India,Electronics,Wireless Earbuds,Friend,3115,2,6230,2324.74,1580.52,25.37,Card,Online,10,4
P0138,2025-12-13,C984,46-55,Male,Bangalore,India,Electronics,Smart Watch,Family,1293,1,1293,832.09,460.91,35.65,Cash,Offline,5,3
P0139,2025-12-16,C123,18-25,Female,Ahmedabad,India,Home Decor,Decor Tree,Sibling,4324,2,8648,3164.57,2318.86,26.81,UPI,Online,20,4
P0140,2025-12-21,C788,46-55,Female,Ahmedabad,India,Toys,Teddy Bear,Self,2804,2,5608,1933.72,1740.56,31.04,UPI,Offline,5,4
P0141,2025-12-02,C683,26-35,Female,Ahmedabad,India,Accessories,Handbag,Family,3803,2,7606,2307.61,2990.78,39.32,UPI,Offline,20,4
P0142,2025-12-04,C503,36-45,Female,Ahmedabad,India,Books,Inspirational Book,Family,2791,1,2791,1728.46,1062.54,38.07,UPI,Online,20,5
P0143,2025-12-23,C441,46-55,Female,Bangalore,India,Home Decor,Decor Tree,Spouse,829,1,829,502.24,326.76,39.42,Cash,Online,10,5
P0144,2025-12-17,C948,46-55,Female,Kolkata,India,Clothing,Sweater,Self,3719,2,7438,2562.61,2312.78,31.09,Card,Offline,0,4
P0145,2025-12-21,C901,26-35,Male,Surat,India,Food & Sweets,Plum Cake,Sibling,718,2,1436,459.4,517.2,36.02,UPI,Offline,5,5
P0146,2025-12-11,C528,26-35,Female,Lucknow,India,Electronics,Smart Watch,Friend,1400,1,1400,843.98,556.02,39.72,Card,Offline,0,5
P0147,2025-12-16,C638,46-55,Female,Bangalore,India,Electronics,Bluetooth Speaker,Sibling,2198,2,4396,1647.88,1100.24,25.03,Cash,Offline,20,4
P0148,2025-12-08,C385,36-45,Male,Hyderabad,India,Accessories,Wallet,Family,2665,2,5330,1675.86,1978.28,37.12,Cash,Online,15,4
P0149,2025-12-22,C656,46-55,Female,Pune,India,Home Decor,Wall Candles,Friend,2740,2,5480,1694.09,2091.82,38.17,Card,Online,10,5
P0150,2025-12-07,C306,36-45,Female,Bangalore,India,Toys,Remote Car,Self,4123,2,8246,2935.99,2374.02,28.79,Cash,Online,5,3
P0151,2025-12-14,C438,46-55,Male,Indore,India,Accessories,Wallet,Friend,2348,1,2348,1427.29,920.71,39.21,UPI,Online,15,5
P0152,2025-12-21,C160,18-25,Male,Ahmedabad,India,Home Decor,Wall Candles,Self,2133,2,4266,1382.56,1500.88,35.18,UPI,Offline,5,3
P0153,2025-12-10,C997,18-25,Male,Hyderabad,India,Books,Diary,Spouse,4558,1,4558,3375.16,1182.84,25.95,Cash,Online,10,4
P0154,2025-12-05,C971,46-55,Female,Chennai,India,Home Decor,Decor Tree,Self,4950,2,9900,3630.28,2639.44,26.66,Card,Online,15,5
P0155,2025-12-10,C681,26-35,Male,Surat,India,Clothing,Scarf,Sibling,2025,1,2025,1438.75,586.25,28.95,Card,Offline,0,4
P0156,2025-12-08,C106,36-45,Female,Chennai,India,Accessories,Perfume,Sibling,2013,1,2013,1351.97,661.03,32.84,Card,Offline,10,5
P0157,2025-12-23,C341,18-25,Male,Kolkata,India,Accessories,Wallet,Family,593,2,1186,413.95,358.1,30.19,UPI,Offline,20,5
P0158,2025-12-08,C324,26-35,Female,Bangalore,India,Books,Diary,Sibling,1461,2,2922,957.15,1007.7,34.49,Cash,Offline,15,5
P0159,2025-12-22,C872,18-25,Female,Ahmedabad,India,Food & Sweets,Plum Cake,Family,4903,1,4903,3502.11,1400.89,28.57,UPI,Online,0,5
P0160,2025-12-17,C552,18-25,Male,Lucknow,India,Food & Sweets,Chocolate Hamper,Spouse,4896,1,4896,3058.44,1837.56,37.53,Card,Online,20,4
P0161,2025-12-15,C677,18-25,Female,Indore,India,Books,Novel Set,Family,4214,1,4214,2852.82,1361.18,32.3,Cash,Online,15,4
P0162,2025-12-12,C817,18-25,Male,Mumbai,India,Books,Novel Set,Sibling,2285,1,2285,1386.52,898.48,39.32,UPI,Offline,15,3
P0163,2025-12-13,C559,46-55,Female,Mumbai,India,Books,Novel Set,Spouse,3943,2,7886,2953.03,1979.94,25.11,UPI,Offline,0,3
P0164,2025-12-08,C954,18-25,Male,Hyderabad,India,Food & Sweets,Plum Cake,Sibling,4832,1,4832,3426.75,1405.25,29.08,Cash,Offline,20,4
P0165,2025-12-09,C293,18-25,Male,Indore,India,Books,Novel Set,Sibling,2527,2,5054,1647.41,1759.18,34.81,Cash,Online,5,3
P0166,2025-12-23,C993,18-25,Male,Lucknow,India,Toys,Teddy Bear,Self,775,2,1550,534.49,481.02,31.03,Card,Offline,5,5
P0167,2025-12-24,C689,36-45,Female,Chennai,India,Electronics,Smart Watch,Family,1647,2,3294,1046.05,1201.9,36.49,UPI,Online,15,4
P0168,2025-12-02,C452,46-55,Female,Lucknow,India,Clothing,Sweater,Sibling,1934,2,3868,1321.65,1224.7,31.66,Card,Online,10,4
P0169,2025-12-10,C978,26-35,Female,Delhi,India,Electronics,Bluetooth Speaker,Spouse,4379,1,4379,3185.29,1193.71,27.26,Card,Offline,20,5
P0170,2025-12-21,C180,46-55,Female,Mumbai,India,Electronics,Wireless Earbuds,Spouse,2489,2,4978,1569.32,1839.36,36.95,Cash,Online,0,4
P0171,2025-12-19,C841,26-35,Female,Chennai,India,Home Decor,Decor Tree,Family,823,1,823,517.03,305.97,37.18,Card,Online,5,3
P0172,2025-12-23,C309,46-55,Male,Ahmedabad,India,Accessories,Perfume,Family,4423,1,4423,3115.31,1307.69,29.57,Card,Offline,15,5
P0173,2025-12-16,C577,18-25,Female,Pune,India,Accessories,Handbag,Friend,3026,2,6052,1978.84,2094.32,34.61,Card,Offline,15,3
P0174,2025-12-19,C693,46-55,Female,Bangalore,India,Food & Sweets,Chocolate Hamper,Friend,1695,1,1695,1083.3,611.7,36.09,Card,Online,15,5
P0175,2025-12-16,C840,46-55,Female,Bangalore,India,Books,Novel Set,Family,4590,2,9180,2931.17,3317.66,36.14,UPI,Online,20,4
P0176,2025-12-03,C937,18-25,Male,Jaipur,India,Electronics,Bluetooth Speaker,Friend,981,1,981,712.07,268.93,27.41,Cash,Online,0,5
P0177,2025-12-20,C753,46-55,Female,Delhi,India,Electronics,Smart Watch,Self,2291,2,4582,1502.85,1576.3,34.4,Cash,Offline,0,3
